id,suit,card,value,deck
1,clubs,Ace,11,1
2,clubs,2,2,1
3,clubs,3,3,1
4,clubs,4,4,1
5,clubs,5,5,1
6,clubs,6,6,1
7,clubs,7,7,1
8,clubs,8,8,1
9,clubs,9,9,1
10,clubs,10,10,1
11,clubs,Jack,10,1
12,clubs,Queen,10,1
13,clubs,King,10,1
14,diamonds,Ace,11,1
15,diamonds,2,2,1
16,diamonds,3,3,1
17,diamonds,4,4,1
18,diamonds,5,5,1
19,diamonds,6,6,1
20,diamonds,7,7,1
21,diamonds,8,8,1
22,diamonds,9,9,1
23,diamonds,10,10,1
24,diamonds,Jack,10,1
25,diamonds,Queen,10,1
26,diamonds,King,10,1
27,hearts,Ace,11,1
28,hearts,2,2,1
29,hearts,3,3,1
30,hearts,4,4,1
31,hearts,5,5,1
32,hearts,6,6,1
33,hearts,7,7,1
34,hearts,8,8,1
35,hearts,9,9,1
36,hearts,10,10,1
37,hearts,Jack,10,1
38,hearts,Queen,10,1
39,hearts,King,10,1
40,spades,Ace,11,1
41,spades,2,2,1
42,spades,3,3,1
43,spades,4,4,1
44,spades,5,5,1
45,spades,6,6,1
46,spades,7,7,1
47,spades,8,8,1
48,spades,9,9,1
49,spades,10,10,1
50,spades,Jack,10,1
51,spades,Queen,10,1
52,spades,King,10,1
53,clubs,Ace,11,2
54,clubs,2,2,2
55,clubs,3,3,2
56,clubs,4,4,2
57,clubs,5,5,2
58,clubs,6,6,2
59,clubs,7,7,2
60,clubs,8,8,2
61,clubs,9,9,2
62,clubs,10,10,2
63,clubs,Jack,10,2
64,clubs,Queen,10,2
65,clubs,King,10,2
66,diamonds,Ace,11,2
67,diamonds,2,2,2
68,diamonds,3,3,2
69,diamonds,4,4,2
70,diamonds,5,5,2
71,diamonds,6,6,2
72,diamonds,7,7,2
73,diamonds,8,8,2
74,diamonds,9,9,2
75,diamonds,10,10,2
76,diamonds,Jack,10,2
77,diamonds,Queen,10,2
78,diamonds,King,10,2
79,hearts,Ace,11,2
80,hearts,2,2,2
81,hearts,3,3,2
82,hearts,4,4,2
83,hearts,5,5,2
84,hearts,6,6,2
85,hearts,7,7,2
86,hearts,8,8,2
87,hearts,9,9,2
88,hearts,10,10,2
89,hearts,Jack,10,2
90,hearts,Queen,10,2
91,hearts,King,10,2
92,spades,Ace,11,2
93,spades,2,2,2
94,spades,3,3,2
95,spades,4,4,2
96,spades,5,5,2
97,spades,6,6,2
98,spades,7,7,2
99,spades,8,8,2
100,spades,9,9,2
101,spades,10,10,2
102,spades,Jack,10,2
103,spades,Queen,10,2
104,spades,King,10,2
105,clubs,Ace,11,3
106,clubs,2,2,3
107,clubs,3,3,3
108,clubs,4,4,3
109,clubs,5,5,3
110,clubs,6,6,3
111,clubs,7,7,3
112,clubs,8,8,3
113,clubs,9,9,3
114,clubs,10,10,3
115,clubs,Jack,10,3
116,clubs,Queen,10,3
117,clubs,King,10,3
118,diamonds,Ace,11,3
119,diamonds,2,2,3
120,diamonds,3,3,3
121,diamonds,4,4,3
122,diamonds,5,5,3
123,diamonds,6,6,3
124,diamonds,7,7,3
125,diamonds,8,8,3
126,diamonds,9,9,3
127,diamonds,10,10,3
128,diamonds,Jack,10,3
129,diamonds,Queen,10,3
130,diamonds,King,10,3
131,hearts,Ace,11,3
132,hearts,2,2,3
133,hearts,3,3,3
134,hearts,4,4,3
135,hearts,5,5,3
136,hearts,6,6,3
137,hearts,7,7,3
138,hearts,8,8,3
139,hearts,9,9,3
140,hearts,10,10,3
141,hearts,Jack,10,3
142,hearts,Queen,10,3
143,hearts,King,10,3
144,spades,Ace,11,3
145,spades,2,2,3
146,spades,3,3,3
147,spades,4,4,3
148,spades,5,5,3
149,spades,6,6,3
150,spades,7,7,3
151,spades,8,8,3
152,spades,9,9,3
153,spades,10,10,3
154,spades,Jack,10,3
155,spades,Queen,10,3
156,spades,King,10,3
